,FlowStep,Thingname,ActorModifiedby,Line_number,CreatedBy,tag_number,Created_By,Startedby,"CONVERT_TZ(t3.completed, 'GMT', 'US/Pacific')",PartNumber,created
494,3BM-29500,TG12025500318H,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,13:45.2,1091594-01-H,59:32.0
495,3BM-29500,TG1202550030NY,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,14:31.3,1093905-01-H,49:29.0
496,3BM-29500,TG12025500318L,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,15:14.8,1091594-01-H,59:32.0
497,3BM-29500,TG120255003131,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,15:19.2,1093906-01-H,56:45.0
498,3BM-29500,TG1202550031MW,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,16:05.0,1093905-01-H,06:58.0
499,3BM-29500,TG12025500315R,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,17:01.0,1093906-01-H,58:14.0
500,3BM-29500,TG120255003197,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,18:26.9,1093906-01-H,59:46.0
501,3BM-29500,TG12025500318M,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,19:01.6,1091594-01-H,59:32.0
502,3BM-29500,TG1202550031BZ,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,19:47.5,1093906-01-H,01:08.0
503,3BM-29500,TG12025500318K,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,20:31.2,1091594-01-H,59:32.0
504,3BM-29500,TG1202550031EJ,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,21:10.8,1093906-01-H,02:38.0
505,3BM-29500,TG12025500318R,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,22:01.3,1091594-01-H,59:34.0
506,3BM-29500,TG1202550031K5,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,22:30.7,1093906-01-H,05:25.0
507,3BM-29500,TG1202550031MX,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,22:51.4,1093905-01-H,06:58.0
508,3BM-29500,TG12025500318T,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,23:31.0,1091594-01-H,59:34.0
509,3BM-29500,TG1202550031N0,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,24:35.1,1093905-01-H,06:58.0
